Topic Area,Jurisdiction Level,Jurisdiction Name,Year Enacted,Policy Name / Number,Brief Description,Partisan Control at Passage,Current Status,Implementing Agency,Source Link
Algorithmic Decision-Making,State,Utah,2024,SB 149 (AI Policy Act),Requires businesses using generative AI to disclose AI interaction to consumers.,Republican trifecta,Active,Utah Dept. of Commerce AI Policy Office,https://le.utah.gov/~2024/bills/static/SB0149.html
Children's Online Safety,State,California,2022,AB 2273 (CA Age-Appropriate Design Code Act),First U.S. AADC modeled on UK version; requires DPIAs for services likely accessed by minors; default high privacy settings.,Democratic trifecta,Partially enjoined (First Amendment challenge),California AG,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB2273
Children's Online Safety,State,Utah,2023,SB 152 / HB 311 (Social Media Regulation Act),Requires age verification and parental consent for minors on social media; curfew (10:30pm-6:30am); limits messaging.,Republican trifecta,Enjoined (preliminary injunction Sept 2024),Utah AG,https://le.utah.gov/~2023/bills/static/SB0152.html
Children's Online Safety,State,Arkansas,2023,SB 396 (Social Media Safety Act),Requires social media platforms (>$100M revenue) to verify age of new users; parental consent for under-18.,Republican trifecta,Enjoined (preliminary injunction Aug 2023),Arkansas AG,https://www.arkleg.state.ar.us/Bills/Detail?id=SB396&ddBiennession=2023%2F2023R
Children's Online Safety,State,Texas,2023,HB 18 (SCOPE Act),Requires digital service providers to get parental consent before minors under 18 create accounts.,Republican trifecta,Enjoined (pending appeal),Texas AG,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=88R&Bill=HB18
Children's Online Safety,State,Florida,2024,HB 3 (Social Media for Minors),Requires platforms to terminate accounts of users under 14; parental consent for ages 14-15.,Republican trifecta,Active,Florida AG,https://www.flsenate.gov/Session/Bill/2024/3
Children's Online Safety,State,Georgia,2024,SB 351 (Protecting Georgia's Children on Social Media),Requires age verification and parental consent for minors on social media; restricts school social media use.,Republican trifecta,Enjoined (June 2025),Georgia AG,https://www.legis.ga.gov/legislation/66753
Children's Online Safety,State,New York,2024,S.7694/A.8148 (SAFE for Kids Act) and S.7695/A.8149 (NY CHILD Act),Requires parental consent before providing addictive algorithmic feeds to minors; restricts notification timing.,Democratic trifecta,Active,New York AG,https://www.governor.ny.gov/news/governor-hochul-signs-landmark-legislation-protect-children-addictive-social-media-feeds
Children's Online Safety,State,California,2024,SB 976 (Protecting Kids from Social Media Addiction),Prohibits platforms from providing addictive feeds to minors without parental consent; restricts late-night notifications.,Democratic trifecta,Active (age verification required by Dec 2026),California AG,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202320240SB976
Children's Online Safety,State,Maryland,2024,Maryland Kids Code (Age Design Code),AADC-style law requiring high default privacy settings for under-16 users; DPIAs for children's data processing.,Democratic trifecta,Active,Maryland AG,https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/hb0603
Children's Online Safety,State,Mississippi,2024,HB 1126 (Walker Montgomery Act),"Requires social media platforms to verify age, obtain parental consent for minors, limit targeted advertising.",Republican trifecta,Active (enforcement proceeding during litigation),Mississippi AG,http://billstatus.ls.state.ms.us/2024/pdf/history/HB/HB1126.xml
Children's Online Safety,State,Louisiana,2022,Act 440 (Age Verification for Harmful Content),First state to require age verification for websites with content harmful to minors (primarily pornographic).,Republican trifecta,Active,Louisiana AG,https://www.legis.la.gov/legis/BillInfo.aspx?i=242292
Children's Online Safety,State,Virginia,2024,HB 854 / SB 359 (Social Media Time Limits),Requires platforms to verify age; limits minors to one hour per day per app without parental consent.,Divided government,Active (effective 2025),Virginia AG,https://lis.virginia.gov/cgi-bin/legp604.exe?241+sum+HB854
Children's Online Safety,State,Minnesota,2024,HF 3488 (Minor Content Creator Protections),Requires compensation and record-keeping for minors creating online content; modeled on child labor protections.,Democratic trifecta,Active,Minnesota Dept. of Labor and Industry,https://www.revisor.mn.gov/bills/text.php?number=HF3488&version=latest&session=ls93&session_year=2024
Data Centers,County,"Fairfax County, VA",2023,Zoning Ordinance Amendment (Data Centers),Restricted data center construction to certain zones; imposed noise limits; required setbacks from residential areas.,Nonpartisan board (Democratic-leaning),Active,Fairfax County Board of Supervisors,https://www.fairfaxcounty.gov/planning-development/zoning-ordinance
Data Centers,County,"Loudoun County, VA",2022,Zoning Ordinance Amendments,Updated zoning for data centers in 'Data Center Alley'; imposed design standards and noise requirements.,Nonpartisan board,Active,Loudoun County Planning & Zoning,https://www.loudoun.gov/4795/Data-Center-Information
Data Centers,County,"Prince William County, VA",2024,Moratorium / Comprehensive Plan Update,Imposed temporary moratorium on new data center applications; updated comprehensive plan with siting standards.,Nonpartisan board (Democratic-leaning),Active,Prince William County Planning,https://www.pwcva.gov/
Data Centers,State,Arkansas,2023,Act 851 (Repeal of Municipal Preemption),Rolled back 2021 laws that had preempted municipal noise ordinances for data centers and crypto mines.,Republican trifecta,Active,Arkansas Legislature,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2023R%2FPublic%2F&file=851.pdf
Data Centers,State,Georgia,2024,HB 1192 (Data Center Tax Incentive Reform),Modified sales tax exemption requirements for data centers; added job creation thresholds.,Republican trifecta,Active,Georgia Dept. of Revenue,https://www.legis.ga.gov/legislation/67034
Data Centers,State,Virginia,2020,Data Center Tax Incentive Program (Existing),Longstanding sales and use tax exemption for data center equipment; one of the nation's most generous programs.,Divided government,Active,Virginia Economic Development Partnership,https://www.vedp.org/incentive/data-center-tax-exemption
Data Centers,City,"Chandler, AZ",2023,Zoning Code Update (Data Centers),Updated zoning to address data center water consumption; imposed water recycling requirements.,Nonpartisan council,Active,City of Chandler,https://www.chandleraz.gov/
Data Centers,State,Oregon,2023,HB 2074 (Data Center Tax Incentive Revision),Revised enterprise zone tax incentives for data centers; added workforce and community benefit requirements.,Democratic trifecta,Active,Oregon Business Development Dept.,https://olis.oregonlegislature.gov/liz/2023R1/Measures/Overview/HB2074
Data Centers,County,"Chesterfield County, VA",2024,Data Center Overlay District,"Created overlay district with specific siting, noise, and screening requirements for data centers.",Nonpartisan board,Active,Chesterfield County Planning,https://www.chesterfield.gov/
Data Centers,State,Illinois,2019,HB 2064 (Data Center Investment Program),Created tax incentive program for data centers meeting investment thresholds; sales tax exemptions.,Democratic trifecta,Active,Illinois DCEO,https://www2.illinois.gov/dceo/ExpandRelocate/Incentives/Pages/DataCenter.aspx
Data Centers,International,"Dublin, Ireland",2022,EirGrid Connection Policy / Government Statement,Placed effective moratorium on new data center grid connections in Dublin area due to electricity capacity concerns.,Coalition government,Active (under review),EirGrid / Commission for Regulation of Utilities,https://www.eirgridgroup.com/
Data Centers,International,Singapore,2019,IMDA Data Centre Moratorium,Imposed moratorium on new data center construction due to energy and land constraints; selectively lifted in 2022.,Ruling party (PAP),Partially lifted (2022),Infocomm Media Development Authority,https://www.imda.gov.sg/
Data Centers,International,"Amsterdam, Netherlands",2019,Data Center Moratorium,Imposed temporary halt on new data center construction in Amsterdam metropolitan area over energy and space concerns.,Coalition,Expired (2020; new siting policies adopted),Municipality of Amsterdam,https://www.amsterdam.nl/
